NO_MUNICIPIO;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_ENERGIA_REDE_PUBLICA;IN_ENERGIA_GERADOR_FOSSIL;IN_ENERGIA_RENOVAVEL;IN_ENERGIA_INEXISTENTE;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_FOSSA_SEPTICA;IN_ESGOTO_FOSSA_COMUM;IN_ESGOTO_INEXISTENTE;IN_LIXO_QUEIMA;IN_TRATAMENTO_LIXO_SEPARACAO;QT_MAT_BAS;QT_DOC_BAS;COORDENADAS_LAT;COORDENADAS_LON
Guabiruba;4206306;ESCOLA EDUCACAO INFANTIL LUISA PETERMANN WESTARB;42144612;1;0;1;0;0;0;1;0;0;0;0;0;148;15;-27.10314192;-48.99446886
São João Batista;4216305;CRECHE MUNICIPAL DONA CHIQUINHA;42144620;1;0;1;0;0;0;1;0;0;0;0;1;175;22;-27.2825467;-48.85283356
Lages;4209300;CEIM ADELINA TRAMONTIN SOMMARIVA;42144647;1;0;1;0;0;0;1;1;0;0;0;1;97;11;-27.8070384;-50.3422365
Lages;4209300;CEDUP INDUSTRIAL DE LAGES;42144671;1;0;1;0;0;0;1;0;0;0;0;1;306;47;-27.82520584;-50.32436362
Brusque;4202909;CENTRO DE EDUCACAO INFANTIL PEQUENOS PENSADORES;42144710;1;0;1;0;0;0;1;0;0;0;0;1;87;8;-27.10482282;-48.94313731
Brusque;4202909;CEI TIA DENISE MACHADO ROZA;42144728;1;0;1;0;0;0;0;1;0;0;0;1;115;9;-27.02692361;-48.88772111
Balneário Gaivota;4202073;CEI ESTRELINHA DO MAR;42144736;1;0;1;0;0;0;0;1;0;0;0;1;124;9;-29.1580962;-49.58782889
Imbituba;4207304;CMEI CLARA HEITICH SOARES;42144752;1;0;1;0;0;0;0;0;1;0;0;1;125;22;-28.28844833;-48.71664333
Imbituba;4207304;CMEI CIDALIA SOARES MENEZES;42144760;1;0;1;0;0;0;0;1;0;0;0;0;88;8;-28.31869833;-48.7322
Braço do Norte;4202800;CEI SAO JANUARIO;42144787;1;0;1;0;0;0;1;0;0;0;0;1;90;5;-28.2899582;-49.14821411
Braço do Norte;4202800;CEI SAO FRANCISCO DE ASSIS;42144795;1;0;1;0;0;0;1;0;0;0;0;1;115;5;-28.27423111;-49.15495743
Braço do Norte;4202800;CEI EDITH DELLA GIUSTINA GESSER;42144809;1;0;1;0;0;0;1;0;0;0;0;1;82;4;-28.26403469;-49.16493852
São Bento do Sul;4215802;SENAI SC - SAO BENTO DO SUL;42144817;1;0;1;0;0;0;1;0;0;0;0;1;222;24;-26.24747108;-49.34859029
São Bento do Sul;4215802;CEI MUN NEIDE DE FATIMA LOBERMAYER;42144825;1;0;1;0;0;0;1;1;0;0;0;1;304;22;-26.2778137;-49.3818582
Massaranduba;4210605;CEI IVETE SPEZIA SCHMITT;42144833;1;0;1;0;0;0;0;0;1;0;0;0;160;23;-26.6022089;-48.9889155
Içara;4207007;CEI AVENTURA DE CRIANCA;42144841;2;0;1;0;0;0;0;1;0;0;0;0;32;3;-28.672275;-49.2178983
Nova Veneza;4211603;CENTRO EDUCACIONAL NONA ANGELINA NAZARI;42144850;1;0;1;0;0;0;1;0;0;0;0;1;79;5;-28.646494;-49.50480299
Criciúma;4204608;SENAI SC - CRICIUMA;42144868;1;0;1;0;0;0;1;0;0;0;0;0;188;30;-28.6882063;-49.36571658
Dionísio Cerqueira;4205001;CRECHE MUN SONHO ENCANTADO;42144884;1;0;1;0;0;0;0;1;0;0;0;1;113;19;-26.26498695;-53.62297576
Forquilhinha;4205456;CEI COM PARAISO DAS CRIANCAS;42144892;1;0;1;0;0;0;1;0;0;0;0;1;138;13;-28.754799;-49.4377575
Palhoça;4211900;CEI VIDA MELHOR;42144914;1;0;1;0;0;0;0;1;0;0;0;0;98;17;-27.63421255;-48.65948365
São José;4216602;SENAI SC - SAO JOSE;42144922;1;0;1;0;0;0;1;0;0;0;0;1;555;37;-27.61960243;-48.6474003
São José;4216602;CENTRO EDUCACIONAL ANITA;42144957;1;0;1;0;1;0;1;0;0;0;0;1;295;20;-27.59965039;-48.63820392
Caçador;4203006;COLEGIO BOM JESUS AURORA;42144965;1;0;1;0;0;0;1;1;0;0;0;1;446;35;-26.77705459;-51.02266603
Campos Novos;4203600;GRUPO ESCOLAR MUNICIPAL DEPUTADO WALDEMAR RUPP;42144973;1;0;1;0;0;0;1;0;0;0;0;1;174;15;-27.40447002;-51.21180586
Xanxerê;4219507;SENAI SC - XANXERE;42145015;1;0;1;0;0;0;0;1;0;0;0;1;131;14;-26.87606948;-52.41710722
Forquilhinha;4205456;CEI CANTINHO FELIZ;42145023;1;0;1;0;0;0;1;1;0;0;0;1;162;19;-28.75599273;-49.44010247
